,log_evidence,log_noise_evidence
33,-64517.50569028874,-64538.040227025536
169,-65296.93923640339,-65317.796524744255
155,-65028.92842339907,-65050.37673061412
36,-64541.478100842374,-64563.25270314173
207,-65108.26191115315,-65130.223327747175
58,-64791.926849407064,-64814.610012603654
146,-65147.321344567106,-65170.69933842478
111,-64926.00543588943,-64949.846185520175
164,-64829.17340888126,-64853.117701865194
179,-65328.352757599816,-65353.10632470051
166,-64783.45597833674,-64808.29668285676
83,-65386.280865774606,-65412.77704071767
187,-64566.748937081466,-64594.051815640996
161,-64991.556092806306,-65020.23202041133
77,-65057.514597080604,-65089.75227083354
150,-64828.67516405834,-64861.23827733549
13,-64908.29984656968,-64944.175651490536
167,-65052.53888077442,-65090.76798363742
32,-65178.78618301822,-65217.63842709857
110,-64984.58084918513,-65029.92194547159
134,-64757.36395884497,-64803.8765598221
175,-65171.04827263183,-65222.27942343165
63,-65115.05003973497,-65166.31326978718
11,-64774.641276504284,-64832.937576519274
184,-65327.892139279655,-65387.94560138336
112,-65066.11497055363,-65133.78108327418
147,-64487.85805789888,-64566.13336182054
9,-65382.10244452809,-65478.30466912335
120,-64873.283627479104,-64993.464140889744
194,-64616.75316982095,-64877.482675800085
